Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
1.451298584,22.60659981,-21.97220039,-17.98279953,36.29348459
1.461298584,22.63099861,-21.94779968,-18.04380035,36.32418946
1.471298584,22.67980003,-21.95999908,-18.04380035,36.36198043
1.481298584,22.74079895,-21.93560028,-18.06819916,36.39744933
1.491298584,22.65539932,-21.89900017,-18.15359879,36.36463221
1.501298584,22.64319992,-21.91119957,-18.16580009,36.37047515
1.511298584,22.54559898,-21.91119957,-18.11700058,36.28540216
1.521298584,22.53339958,-21.91119957,-18.04380035,36.24132302
1.531298584,22.54559898,-21.7038002,-17.77540016,35.99060749
1.541298584,22.49679947,-21.75259972,-17.81200027,36.00762328
1.551298584,22.36260033,-21.77700043,-17.94619942,36.00541229
1.561298584,22.35039902,-21.74040031,-17.8973999,35.95138753
1.571298584,22.41139984,-21.7038002,-17.86079979,35.94904665
1.581298584,22.37479973,-21.72819901,-17.81200027,35.91676
1.591298584,22.47239876,-21.75259972,-17.9095993,36.04078312
1.601298584,22.47239876,-21.75259972,-17.93400002,36.05291468
1.611298584,22.46019936,-21.7038002,-17.8973999,35.99767245
1.621298584,22.53339958,-21.69159889,-17.8852005,36.0299869
1.631298584,22.66759872,-21.66720009,-17.78759956,36.05116211
1.641298584,22.66759872,-21.67939949,-17.78759956,36.05849543
1.651298584,22.67980003,-21.72819901,-17.76319885,36.08350309
1.661298584,22.72859955,-21.53299904,-18.01939964,36.12420308
1.671298584,22.70419884,-21.54520035,-17.87299919,36.04331287
1.681298584,22.72859955,-21.53299904,-17.84860039,36.03930938
1.691298584,22.76519966,-21.56959915,-17.84860039,36.08426886
1.701298584,22.76519966,-21.54520035,-17.84860039,36.06968962
1.711298584,22.75300026,-21.58180046,-17.82419968,36.07180653
1.721298584,22.83839989,-21.61839867,-17.8852005,36.17772888
1.731298584,22.875,-21.65499878,-17.86079979,36.21067199
1.741298584,22.86279869,-21.85019875,-17.61680031,36.20069616
1.751298584,22.83839989,-21.81359863,-17.70219994,36.20488195
1.761298584,22.80179977,-21.81359863,-17.71439934,36.18777559
1.771298584,22.83839989,-21.77700043,-17.79979897,36.23069279
1.781298584,22.83839989,-21.78919983,-17.78759956,36.23203606
1.791298584,22.82620049,-21.78919983,-17.87299919,36.26635849
1.801298584,22.83839989,-21.72819901,-17.84860039,36.22540099
1.811298584,22.77739906,-21.7038002,-17.86079979,36.17835016
1.821298584,22.74079895,-21.7038002,-17.84860039,36.14929344
1.831298584,22.72859955,-21.75259972,-17.83639908,36.16492726
1.841298584,22.78960037,-21.78919983,-17.82419968,36.21929332
1.851298584,22.74079895,-21.81359863,-17.76319885,36.17330861
1.861298584,22.76519966,-21.60619926,-17.99499893,36.17875273
1.871298584,22.76519966,-21.58180046,-17.95839882,36.14598892
1.881298584,22.75300026,-21.60619926,-17.9095993,36.12866749
1.891298584,22.80179977,-21.58180046,-17.94619942,36.16299569
1.901298584,22.85059929,-21.56959915,-17.93400002,36.1804623
1.911298584,22.85059929,-21.54520035,-17.9095993,36.15382819
1.921298584,22.78960037,-21.53299904,-17.8852005,36.09593231
1.931298584,22.76519966,-21.50860023,-17.9095993,36.07808125
1.941298584,22.71640015,-21.72819901,-17.71439934,36.0825361
1.951298584,22.69199944,-21.76479912,-17.62899971,36.04739866
1.961298584,22.61879921,-21.78919983,-17.62899971,36.01612052
1.971298584,22.59440041,-21.88679886,-18.14139938,36.31321062
1.981298584,22.54559898,-21.86240005,-18.10479927,36.24985967
1.991298584,22.54559898,-21.88679886,-18.06819916,36.24632145
2.001298584,22.63099861,-21.91119957,-18.1779995,36.36897621
2.011298584,22.70419884,-21.93560028,-18.15359879,36.41708875
2.021298584,22.70419884,-21.93560028,-18.10479927,36.39278721
2.031298584,22.74079895,-21.88679886,-18.15359879,36.41056234
2.041298584,22.75300026,-21.86240005,-18.22679901,36.44008451
2.051298584,22.77739906,-21.76479912,-17.65340042,36.11314075
2.061298584,22.78960037,-21.80139923,-17.70219994,36.16676342
2.071298584,22.77739906,-21.77700043,-17.75099945,36.16829602
2.081298584,22.72859955,-21.7038002,-17.76319885,36.09952097
2.091298584,22.71640015,-21.67939949,-17.76319885,36.07717327
2.101298584,22.77739906,-21.69159889,-17.78759956,36.13494249
2.111298584,22.75300026,-21.69159889,-17.81200027,36.13159057
2.121298584,22.80179977,-21.66720009,-17.79979897,36.14169996
2.131298584,22.72859955,-21.65499878,-17.9095993,36.14252283
2.141298584,22.71640015,-21.64279938,-17.97060013,36.15782169
2.151298584,22.76519966,-21.60619926,-17.8973999,36.13030702
2.161298584,22.80179977,-21.61839867,-17.78759956,36.10645278
2.171298584,22.74079895,-21.74040031,-18.1779995,36.33495023
2.181298584,22.63099861,-21.7159996,-18.14139938,36.2333701
2.191298584,22.63099861,-21.7159996,-18.08040047,36.20286754
2.201298584,22.60659981,-21.72819901,-18.08040047,36.19494257
2.211298584,22.67980003,-21.80139923,-18.03159904,36.2603489
2.221298584,22.76519966,-21.78919983,-17.97060013,36.27624586
2.231298584,22.77739906,-21.82579994,-18.00720024,36.32402389
2.241298584,22.78960037,-21.85019875,-18.04380035,36.36448544
2.251298584,22.81399918,-21.72819901,-17.61680031,36.09632729
2.261298584,22.85059929,-21.72819901,-17.64119911,36.13137731
2.271298584,22.85059929,-21.75259972,-17.61680031,36.13415469
2.281298584,22.71640015,-21.92339897,-17.8973999,36.29031801
2.291298584,22.66759872,-21.88679886,-17.84860039,36.21359596
2.301298584,22.59440041,-21.92339897,-17.8852005,36.20804813
2.311298584,22.5821991,-21.91119957,-17.9095993,36.20511193
2.321298584,22.49679947,-21.93560028,-17.8852005,36.15462547
2.331298584,22.47239876,-21.92339897,-17.93400002,36.15622332
2.341298584,22.48460007,-21.95999908,-17.94619942,36.19205539
2.351298584,22.47239876,-21.92339897,-18.03159904,36.20473301
2.361298584,22.47239876,-21.76479912,-17.79979897,35.99372209
2.371298584,22.43579865,-21.74040031,-17.86079979,35.9863618
2.381298584,22.39920044,-21.63059998,-17.94619942,35.93985405
2.391298584,22.35039902,-21.58180046,-17.92179871,35.86788698
2.401298584,22.37479973,-21.55739975,-18.01939964,35.91729264
2.411298584,22.33819962,-21.58180046,-17.99499893,35.89692549
2.421298584,22.2894001,-21.53299904,-17.98279953,35.83111055
2.431298584,22.3015995,-21.50860023,-17.93400002,35.79957515
2.441298584,22.38699913,-21.48419952,-17.92179871,35.83210053
